draft_id,category,flag,reason,judge_model,judged_at
autoimmune_001__paraphrase,clinical_perturbation,ok,"The variant is a faithful paraphrase of the original stem with no clinical findings added, removed, or numerically altered; answer A remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:42+00:00
autoimmune_002__history_reordering,clinical_perturbation,ok,"The variant only reorders the presentation of information (vital signs/labs first, then demographics/history), introducing no new findings, altered values, or clinically meaningful changes; B remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:45+00:00
autoimmune_003__history_reordering,clinical_perturbation,ok,"The variant only reorders the presentation of identical clinical information (same lab results, same DVT history, same miscarriage history, same APS diagnosis, same anticoagulation status, same preconception intent); no findings were added, removed, or altered, so A remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:48+00:00
autoimmune_004__paraphrase,clinical_perturbation,ok,"The variant is a faithful paraphrase with no clinical findings added, removed, or altered; the absence of a drug trigger, confirmed SCLE histology, and strongly positive anti-Ro/SSA all remain intact, leaving A unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:50+00:00
autoimmune_005__history_reordering,clinical_perturbation,ok,"The variant only reorders the presentation of clinical information without adding, removing, or altering any clinically meaningful detail; all findings, demographics, antibody status, gestational age, block severity, and prior HCQ use remain identical, leaving B unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:53+00:00
autoimmune_006__paraphrase,clinical_perturbation,ok,"The variant is a faithful paraphrase of the original stem with no clinical findings added, removed, or numerically altered; answer A remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:55+00:00
autoimmune_007__distractor_insertion,clinical_perturbation,ok,"The added TSH value (2.1 mIU/L, normal) is a red herring that reinforces exclusion of thyroid-related encephalopathy without changing the clinical picture or shifting the correct answer away from A.",claude-sonnet-4-6,2026-09-02T00:42:58+00:00
autoimmune_009__history_reordering,clinical_perturbation,ok,"The variant only reorders the presentation of identical clinical information; all findings, medications, and clinical context are preserved, leaving B unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:43:02+00:00
autoimmune_015__paraphrase,clinical_perturbation,ok,"The variant is a faithful paraphrase of the original stem with no clinical data added, removed, or altered; all findings, values, and context that support answer A remain identical.",claude-sonnet-4-6,2026-09-02T00:43:11+00:00
autoimmune_017__paraphrase,clinical_perturbation,ok,"The variant is a faithful paraphrase of the original stem with no clinical findings added, removed, or altered; the correct answer remains unambiguously A.",claude-sonnet-4-6,2026-09-02T00:43:14+00:00
cardio_001__distractor_insertion,clinical_perturbation,ok,The added hypothyroidism/levothyroxine detail is a classic irrelevant distractor that does not alter the ECG findings or the clinical reasoning for identifying the RCA as the culprit vessel; C remains unambiguously correct.,claude-sonnet-4-6,2026-09-02T00:43:22+00:00
cardio_003__paraphrase,clinical_perturbation,ok,"The variant is a pure paraphrase with no clinical findings added, removed, or altered; the ECG pattern and demographics are identical, leaving LCx unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:43:27+00:00
cardio_004__paraphrase,clinical_perturbation,ok,The variant is a faithful paraphrase with no clinical data altered; B remains unambiguously correct by the same TIMI risk score reasoning.,claude-sonnet-4-6,2026-09-02T00:43:30+00:00
cardio_005__paraphrase,clinical_perturbation,ok,"The variant is a faithful paraphrase with no clinical details added, removed, or altered; B remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:43:31+00:00
cardio_006__distractor_insertion,clinical_perturbation,ok,"The added TSH value (2.1 mIU/L) is explicitly normal, introduces no thyroid dysfunction that would alter cardiac risk stratification or test selection, and does not affect the interpretability of the resting ECG or exercise capacity; B remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:43:34+00:00
cardio_007__history_reordering,clinical_perturbation,ok,"The variant reorders the presentation of identical clinical information without adding, removing, or altering any findings, values, or demographics, so papillary muscle rupture remains unambiguously the correct answer.",claude-sonnet-4-6,2026-09-02T00:43:37+00:00
cardio_008__history_reordering,clinical_perturbation,ok,"The variant only reorders the presentation of information (history moved to the end) without adding, removing, or altering any clinical findings, values, or demographics, so intravenous metoprolol remains unambiguously contraindicated as first-line therapy in cocaine-associated chest pain.",claude-sonnet-4-6,2026-09-02T00:43:40+00:00
cardio_009__history_reordering,clinical_perturbation,ok,"The variant reorders the presentation of information but preserves all diagnostic features (nocturnal rest pain, transient ST elevation in II/III/aVF resolving with nitrates, no obstructive CAD, smoking history, no exertional provocation), leaving C unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:43:42+00:00
cardio_011__history_reordering,clinical_perturbation,ok,"The variant only reorders the presentation of identical clinical information (demographics, vitals, labs, echo findings, comorbidities); no data were added, removed, or altered, so B remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:43:45+00:00
