draft_id,category,flag,reason,judge_model,judged_at
autoimmune_051,adversarial,review,"Option A (SLE) is defensibly pickable as a forced best guess: a 28-year-old woman with 6 weeks of fatigue, diffuse hair thinning, low-grade fever, MCP tenderness, mild normocytic anemia, and elevated ESR/CRP fits a classic SLE presentation pattern well enough that a competent clinician would name SLE as the leading working diagnosis even before confirmatory labs, making abstention unrealistic in a forced-choice clinical reasoning context.",claude-sonnet-4-6,2026-09-02T00:42:30+00:00
autoimmune_052,adversarial,review,"Option A (or B) is defensibly the best next step because initiating a workup-guided empiric approach while awaiting results is standard care, but more critically, low-dose aspirin alone (Option B) is widely recommended by ACOG and ASRM as a reasonable empiric intervention in a patient with three consecutive pregnancy losses and high pre-test probability of APS even before confirmatory serology, making it a defensible forced-best-guess that a competent clinician would select.",claude-sonnet-4-6,2026-09-02T00:42:34+00:00
autoimmune_053,adversarial,review,"Option A is defensibly the best answer even without confirmed anti-Ro/SSA results, because the clinical context (prior pregnancy fetal arrhythmia, current fetal irregular rhythm, ANA positive) creates high pre-test probability for anti-Ro/SSA positivity, and a competent clinician would recognize that hydroxychloroquine—safe in pregnancy, already indicated if serology returns positive, and with a favorable risk-benefit profile—could be initiated empirically or at minimum is the most appropriate *next* management step among the four options, making it a defensible forced-choice answer rather than a truly unsupportable option.",claude-sonnet-4-6,2026-09-02T00:42:39+00:00
autoimmune_001__paraphrase,clinical_perturbation,ok,"The variant is a faithful paraphrase of the original stem with no clinical findings added, removed, or numerically altered; answer A remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:42+00:00
autoimmune_002__history_reordering,clinical_perturbation,ok,"The variant only reorders the presentation of information (vital signs/labs first, then demographics/history), introducing no new findings, altered values, or clinically meaningful changes; B remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:45+00:00
autoimmune_003__history_reordering,clinical_perturbation,ok,"The variant only reorders the presentation of identical clinical information (same lab results, same DVT history, same miscarriage history, same APS diagnosis, same anticoagulation status, same preconception intent); no findings were added, removed, or altered, so A remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:48+00:00
autoimmune_004__paraphrase,clinical_perturbation,ok,"The variant is a faithful paraphrase with no clinical findings added, removed, or altered; the absence of a drug trigger, confirmed SCLE histology, and strongly positive anti-Ro/SSA all remain intact, leaving A unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:50+00:00
autoimmune_005__history_reordering,clinical_perturbation,ok,"The variant only reorders the presentation of clinical information without adding, removing, or altering any clinically meaningful detail; all findings, demographics, antibody status, gestational age, block severity, and prior HCQ use remain identical, leaving B unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:53+00:00
autoimmune_006__paraphrase,clinical_perturbation,ok,"The variant is a faithful paraphrase of the original stem with no clinical findings added, removed, or numerically altered; answer A remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:42:55+00:00
autoimmune_007__distractor_insertion,clinical_perturbation,ok,"The added TSH value (2.1 mIU/L, normal) is a red herring that reinforces exclusion of thyroid-related encephalopathy without changing the clinical picture or shifting the correct answer away from A.",claude-sonnet-4-6,2026-09-02T00:42:58+00:00
autoimmune_008__distractor_insertion,clinical_perturbation,ok,"The added TSH result (2.1 mIU/L, normal) is a pure distractor with no clinical relevance to HCQ retinopathy screening or dosing guidelines; it does not alter any risk factors, demographics, or screening parameters, leaving A unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:43:00+00:00
autoimmune_009__history_reordering,clinical_perturbation,ok,"The variant only reorders the presentation of identical clinical information; all findings, medications, and clinical context are preserved, leaving B unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:43:02+00:00
autoimmune_010__distractor_insertion,clinical_perturbation,ok,"The added TSH of 2.1 mIU/L is explicitly normal, provides no actionable clinical information, and does not alter the reasoning favoring increased surveillance (option A) over any other option.",claude-sonnet-4-6,2026-09-02T00:43:05+00:00
autoimmune_012__distractor_insertion,clinical_perturbation,ok,"The added hypothyroidism history (well-controlled, normal TSH) is a classic distractor that does not alter the diagnostic criteria scoring or exclude RA; answer A remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:43:08+00:00
autoimmune_015__paraphrase,clinical_perturbation,ok,"The variant is a faithful paraphrase of the original stem with no clinical data added, removed, or altered; all findings, values, and context that support answer A remain identical.",claude-sonnet-4-6,2026-09-02T00:43:11+00:00
autoimmune_017__paraphrase,clinical_perturbation,ok,"The variant is a faithful paraphrase of the original stem with no clinical findings added, removed, or altered; the correct answer remains unambiguously A.",claude-sonnet-4-6,2026-09-02T00:43:14+00:00
autoimmune_037__distractor_insertion,clinical_perturbation,ok,"The added hypothyroidism/levothyroxine detail is a benign distractor with no clinical import for vasculitis etiology or management; all other findings are identical, and A remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:43:16+00:00
autoimmune_042__distractor_insertion,clinical_perturbation,ok,"The only change is the addition of a normal TSH (2.1 mIU/L), which rules out thyroid-related tendinopathy as a distractor but does not introduce any SpA red flag or alter the mechanical diagnosis; answer A remains unambiguously correct.",claude-sonnet-4-6,2026-09-02T00:43:20+00:00
