model_a,model_b,n_shared,a_only_right,b_only_right,p_value
claude-haiku-4-5,gemma2:9b,399,34,6,8.364584573428147e-06
claude-haiku-4-5,llama3.1:8b,399,26,4,5.9476122260093696e-05
claude-haiku-4-5,mistral:7b,399,33,12,0.002458900322096724
claude-haiku-4-5,phi4,399,9,5,0.4239501953125
claude-haiku-4-5,qwen2.5:7b,399,36,8,2.5448598648836196e-05
gemma2:9b,llama3.1:8b,399,18,24,0.44079906734259566
gemma2:9b,mistral:7b,399,15,22,0.3240086000878364
gemma2:9b,phi4,399,6,30,6.960169412195683e-05
gemma2:9b,qwen2.5:7b,399,13,13,1.0
llama3.1:8b,mistral:7b,399,25,26,1.0
llama3.1:8b,phi4,399,6,24,0.0014309063553810122
llama3.1:8b,qwen2.5:7b,399,23,17,0.42959050784338615
mistral:7b,phi4,399,13,30,0.0137181850586785
mistral:7b,qwen2.5:7b,399,25,18,0.3603776529357674
phi4,qwen2.5:7b,399,34,10,0.00038813090293388086
