model,slice_type,slice,n_items,accuracy,accuracy_sd,n_seeds
claude-haiku-4-5,variant_type,base,112,0.8392857142857143,0.0,1
claude-haiku-4-5,variant_type,clinical_perturbation,30,1.0,0.0,1
claude-haiku-4-5,variant_type,mixed,106,0.7452830188679245,0.0,1
claude-haiku-4-5,variant_type,pure_demographic,151,0.9470198675496688,0.0,1
claude-haiku-4-5,clinical_subtype,distractor_insertion,10,1.0,0.0,1
claude-haiku-4-5,clinical_subtype,history_reordering,10,1.0,0.0,1
claude-haiku-4-5,clinical_subtype,paraphrase,10,1.0,0.0,1
claude-haiku-4-5,demographic_cell,age,31,0.8709677419354839,0.0,1
claude-haiku-4-5,demographic_cell,age+ethnicity,1,1.0,0.0,1
claude-haiku-4-5,demographic_cell,age+ethnicity+sex,1,1.0,0.0,1
claude-haiku-4-5,demographic_cell,age+race,1,1.0,0.0,1
claude-haiku-4-5,demographic_cell,age+race+sex,1,1.0,0.0,1
claude-haiku-4-5,demographic_cell,age+sex,55,0.9454545454545454,0.0,1
claude-haiku-4-5,demographic_cell,ethnicity,20,1.0,0.0,1
claude-haiku-4-5,demographic_cell,race,20,1.0,0.0,1
claude-haiku-4-5,demographic_cell,sex,20,1.0,0.0,1
gemma2:9b,variant_type,base,112,0.7857142857142857,0.0,1
gemma2:9b,variant_type,clinical_perturbation,30,0.8666666666666667,0.0,1
gemma2:9b,variant_type,mixed,106,0.6698113207547169,0.0,1
gemma2:9b,variant_type,pure_demographic,151,0.8807947019867549,0.0,1
gemma2:9b,clinical_subtype,distractor_insertion,10,1.0,0.0,1
gemma2:9b,clinical_subtype,history_reordering,10,0.9,0.0,1
gemma2:9b,clinical_subtype,paraphrase,10,0.7,0.0,1
gemma2:9b,demographic_cell,age,31,0.8064516129032258,0.0,1
gemma2:9b,demographic_cell,age+ethnicity,1,0.0,0.0,1
gemma2:9b,demographic_cell,age+ethnicity+sex,1,1.0,0.0,1
gemma2:9b,demographic_cell,age+race,1,1.0,0.0,1
gemma2:9b,demographic_cell,age+race+sex,1,1.0,0.0,1
gemma2:9b,demographic_cell,age+sex,55,0.9272727272727272,0.0,1
gemma2:9b,demographic_cell,ethnicity,20,0.8,0.0,1
gemma2:9b,demographic_cell,race,20,0.95,0.0,1
gemma2:9b,demographic_cell,sex,20,0.95,0.0,1
llama3.1:8b,variant_type,base,112,0.8303571428571429,0.0,1
llama3.1:8b,variant_type,clinical_perturbation,30,0.9666666666666667,0.0,1
llama3.1:8b,variant_type,mixed,106,0.5471698113207547,0.0,1
llama3.1:8b,variant_type,pure_demographic,151,0.9536423841059603,0.0,1
llama3.1:8b,clinical_subtype,distractor_insertion,10,1.0,0.0,1
llama3.1:8b,clinical_subtype,history_reordering,10,0.9,0.0,1
llama3.1:8b,clinical_subtype,paraphrase,10,1.0,0.0,1
llama3.1:8b,demographic_cell,age,31,0.9032258064516129,0.0,1
llama3.1:8b,demographic_cell,age+ethnicity,1,1.0,0.0,1
llama3.1:8b,demographic_cell,age+ethnicity+sex,1,1.0,0.0,1
llama3.1:8b,demographic_cell,age+race,1,1.0,0.0,1
llama3.1:8b,demographic_cell,age+race+sex,1,1.0,0.0,1
llama3.1:8b,demographic_cell,age+sex,55,0.9454545454545454,0.0,1
llama3.1:8b,demographic_cell,ethnicity,20,1.0,0.0,1
llama3.1:8b,demographic_cell,race,20,1.0,0.0,1
llama3.1:8b,demographic_cell,sex,20,1.0,0.0,1
mistral:7b,variant_type,base,112,0.8303571428571429,0.0,1
mistral:7b,variant_type,clinical_perturbation,30,0.8666666666666667,0.0,1
mistral:7b,variant_type,mixed,106,0.6509433962264151,0.0,1
mistral:7b,variant_type,pure_demographic,151,0.9072847682119205,0.0,1
mistral:7b,clinical_subtype,distractor_insertion,10,0.9,0.0,1
mistral:7b,clinical_subtype,history_reordering,10,1.0,0.0,1
mistral:7b,clinical_subtype,paraphrase,10,0.7,0.0,1
mistral:7b,demographic_cell,age,31,0.8709677419354839,0.0,1
mistral:7b,demographic_cell,age+ethnicity,1,0.0,0.0,1
mistral:7b,demographic_cell,age+ethnicity+sex,1,1.0,0.0,1
mistral:7b,demographic_cell,age+race,1,1.0,0.0,1
mistral:7b,demographic_cell,age+race+sex,1,1.0,0.0,1
mistral:7b,demographic_cell,age+sex,55,0.9272727272727272,0.0,1
mistral:7b,demographic_cell,ethnicity,20,0.9,0.0,1
mistral:7b,demographic_cell,race,20,0.95,0.0,1
mistral:7b,demographic_cell,sex,20,0.95,0.0,1
phi4,variant_type,base,112,0.8392857142857143,0.0,1
phi4,variant_type,clinical_perturbation,30,0.9666666666666667,0.0,1
phi4,variant_type,mixed,106,0.7264150943396226,0.0,1
phi4,variant_type,pure_demographic,151,0.9403973509933775,0.0,1
phi4,clinical_subtype,distractor_insertion,10,1.0,0.0,1
phi4,clinical_subtype,history_reordering,10,1.0,0.0,1
phi4,clinical_subtype,paraphrase,10,0.9,0.0,1
phi4,demographic_cell,age,31,0.8709677419354839,0.0,1
phi4,demographic_cell,age+ethnicity,1,0.0,0.0,1
phi4,demographic_cell,age+ethnicity+sex,1,1.0,0.0,1
phi4,demographic_cell,age+race,1,1.0,0.0,1
phi4,demographic_cell,age+race+sex,1,1.0,0.0,1
phi4,demographic_cell,age+sex,55,0.9454545454545454,0.0,1
phi4,demographic_cell,ethnicity,20,1.0,0.0,1
phi4,demographic_cell,race,20,1.0,0.0,1
phi4,demographic_cell,sex,20,1.0,0.0,1
qwen2.5:7b,variant_type,base,112,0.7946428571428571,0.0,1
qwen2.5:7b,variant_type,clinical_perturbation,30,0.8666666666666667,0.0,1
qwen2.5:7b,variant_type,mixed,106,0.6415094339622641,0.0,1
qwen2.5:7b,variant_type,pure_demographic,151,0.8940397350993378,0.0,1
qwen2.5:7b,clinical_subtype,distractor_insertion,10,1.0,0.0,1
qwen2.5:7b,clinical_subtype,history_reordering,10,0.9,0.0,1
qwen2.5:7b,clinical_subtype,paraphrase,10,0.7,0.0,1
qwen2.5:7b,demographic_cell,age,31,0.8709677419354839,0.0,1
qwen2.5:7b,demographic_cell,age+ethnicity,1,1.0,0.0,1
qwen2.5:7b,demographic_cell,age+ethnicity+sex,1,1.0,0.0,1
qwen2.5:7b,demographic_cell,age+race,1,1.0,0.0,1
qwen2.5:7b,demographic_cell,age+race+sex,1,1.0,0.0,1
qwen2.5:7b,demographic_cell,age+sex,55,0.9272727272727272,0.0,1
qwen2.5:7b,demographic_cell,ethnicity,20,0.9,0.0,1
qwen2.5:7b,demographic_cell,race,20,0.9,0.0,1
qwen2.5:7b,demographic_cell,sex,20,0.85,0.0,1
