model,case_id,specialty,difficulty,unanswerable,base_accuracy,base_confidence,n_variants,variant_accuracy
claude-haiku-4-5,autoimmune_001,autoimmune,medium,False,1.0,0.95,4,1.0
claude-haiku-4-5,autoimmune_002,autoimmune,hard,False,1.0,0.92,5,0.8
claude-haiku-4-5,autoimmune_003,autoimmune,hard,False,1.0,0.92,4,0.75
claude-haiku-4-5,autoimmune_004,autoimmune,medium,False,1.0,0.92,4,1.0
claude-haiku-4-5,autoimmune_005,autoimmune,hard,False,1.0,0.78,4,0.5
claude-haiku-4-5,autoimmune_006,autoimmune,medium,False,1.0,0.72,4,1.0
claude-haiku-4-5,autoimmune_007,autoimmune,hard,False,1.0,0.88,4,1.0
claude-haiku-4-5,autoimmune_008,autoimmune,easy,False,1.0,0.92,4,1.0
claude-haiku-4-5,autoimmune_009,autoimmune,medium,False,1.0,0.88,4,1.0
claude-haiku-4-5,autoimmune_010,autoimmune,medium,False,1.0,0.88,4,0.75
claude-haiku-4-5,autoimmune_011,autoimmune,medium,False,1.0,0.92,3,1.0
claude-haiku-4-5,autoimmune_012,autoimmune,easy,False,1.0,0.95,4,1.0
claude-haiku-4-5,autoimmune_013,autoimmune,medium,False,1.0,0.92,3,0.6666666666666666
claude-haiku-4-5,autoimmune_014,autoimmune,medium,False,1.0,0.92,3,1.0
claude-haiku-4-5,autoimmune_015,autoimmune,hard,False,1.0,0.78,4,1.0
claude-haiku-4-5,autoimmune_016,autoimmune,medium,False,1.0,0.92,3,1.0
claude-haiku-4-5,autoimmune_017,autoimmune,hard,False,1.0,0.92,4,1.0
claude-haiku-4-5,autoimmune_018,autoimmune,hard,False,1.0,0.88,3,1.0
claude-haiku-4-5,autoimmune_019,autoimmune,medium,False,1.0,0.92,3,1.0
claude-haiku-4-5,autoimmune_020,autoimmune,medium,True,0.0,0.62,2,0.0
claude-haiku-4-5,autoimmune_021,autoimmune,medium,False,1.0,0.92,3,0.6666666666666666
claude-haiku-4-5,autoimmune_022,autoimmune,hard,False,1.0,0.82,3,1.0
claude-haiku-4-5,autoimmune_023,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_024,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_025,autoimmune,medium,False,1.0,0.92,2,0.5
claude-haiku-4-5,autoimmune_026,autoimmune,hard,False,1.0,0.95,3,1.0
claude-haiku-4-5,autoimmune_027,autoimmune,hard,False,1.0,0.92,3,1.0
claude-haiku-4-5,autoimmune_028,autoimmune,hard,False,1.0,0.95,3,1.0
claude-haiku-4-5,autoimmune_029,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_030,autoimmune,hard,False,1.0,0.95,3,1.0
claude-haiku-4-5,autoimmune_031,autoimmune,hard,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_032,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_033,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_034,autoimmune,medium,False,1.0,0.92,2,0.5
claude-haiku-4-5,autoimmune_035,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_036,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_037,autoimmune,easy,False,1.0,0.92,4,1.0
claude-haiku-4-5,autoimmune_038,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_039,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_040,autoimmune,medium,False,1.0,0.88,2,1.0
claude-haiku-4-5,autoimmune_041,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_042,autoimmune,easy,False,1.0,0.92,4,1.0
claude-haiku-4-5,autoimmune_043,autoimmune,hard,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_044,autoimmune,medium,False,1.0,0.95,2,1.0
claude-haiku-4-5,autoimmune_045,autoimmune,hard,False,1.0,0.88,2,1.0
claude-haiku-4-5,autoimmune_046,autoimmune,medium,False,1.0,0.95,2,1.0
claude-haiku-4-5,autoimmune_047,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_048,autoimmune,medium,False,1.0,0.95,2,1.0
claude-haiku-4-5,autoimmune_049,autoimmune,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,autoimmune_050,autoimmune,medium,False,1.0,0.72,2,0.5
claude-haiku-4-5,autoimmune_051,autoimmune,easy,True,0.0,0.72,0,
claude-haiku-4-5,autoimmune_052,autoimmune,hard,True,0.0,0.72,0,
claude-haiku-4-5,autoimmune_053,autoimmune,hard,True,0.0,0.78,0,
claude-haiku-4-5,autoimmune_055,autoimmune,medium,True,0.0,0.72,0,
claude-haiku-4-5,autoimmune_056,autoimmune,medium,True,0.0,0.72,0,
claude-haiku-4-5,cardio_001,cardiology,easy,False,1.0,0.95,4,1.0
claude-haiku-4-5,cardio_002,cardiology,easy,False,1.0,0.98,4,1.0
claude-haiku-4-5,cardio_003,cardiology,medium,False,1.0,0.92,4,1.0
claude-haiku-4-5,cardio_004,cardiology,medium,False,1.0,0.92,4,1.0
claude-haiku-4-5,cardio_005,cardiology,medium,False,1.0,0.92,4,1.0
claude-haiku-4-5,cardio_006,cardiology,easy,False,1.0,0.78,3,0.6666666666666666
claude-haiku-4-5,cardio_007,cardiology,hard,False,1.0,0.92,4,1.0
claude-haiku-4-5,cardio_008,cardiology,medium,False,1.0,0.92,4,1.0
claude-haiku-4-5,cardio_009,cardiology,hard,False,1.0,0.95,4,1.0
claude-haiku-4-5,cardio_010,cardiology,medium,True,0.0,0.45,2,0.0
claude-haiku-4-5,cardio_011,cardiology,medium,False,1.0,0.92,4,0.75
claude-haiku-4-5,cardio_012,cardiology,medium,False,1.0,0.78,3,1.0
claude-haiku-4-5,cardio_013,cardiology,easy,False,1.0,0.82,4,1.0
claude-haiku-4-5,cardio_014,cardiology,hard,False,1.0,0.78,4,1.0
claude-haiku-4-5,cardio_015,cardiology,medium,False,1.0,0.95,3,1.0
claude-haiku-4-5,cardio_016,cardiology,easy,False,1.0,0.95,4,1.0
claude-haiku-4-5,cardio_017,cardiology,hard,False,1.0,0.92,4,0.75
claude-haiku-4-5,cardio_018,cardiology,medium,True,0.0,0.72,2,0.0
claude-haiku-4-5,cardio_019,cardiology,easy,False,1.0,0.92,3,0.6666666666666666
claude-haiku-4-5,cardio_020,cardiology,hard,False,1.0,0.92,4,1.0
claude-haiku-4-5,cardio_021,cardiology,medium,False,1.0,0.92,3,1.0
claude-haiku-4-5,cardio_022,cardiology,hard,False,1.0,0.92,3,1.0
claude-haiku-4-5,cardio_023,cardiology,easy,False,1.0,0.92,3,0.6666666666666666
claude-haiku-4-5,cardio_024,cardiology,medium,False,1.0,0.92,3,0.6666666666666666
claude-haiku-4-5,cardio_025,cardiology,medium,False,1.0,0.92,3,1.0
claude-haiku-4-5,cardio_026,cardiology,hard,False,1.0,0.92,3,1.0
claude-haiku-4-5,cardio_027,cardiology,hard,False,1.0,0.95,3,0.6666666666666666
claude-haiku-4-5,cardio_028,cardiology,medium,True,0.0,0.72,2,0.0
claude-haiku-4-5,cardio_029,cardiology,medium,False,1.0,0.95,3,1.0
claude-haiku-4-5,cardio_030,cardiology,hard,False,1.0,0.92,3,1.0
claude-haiku-4-5,cardio_031,cardiology,hard,False,1.0,0.92,3,1.0
claude-haiku-4-5,cardio_032,cardiology,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,cardio_033,cardiology,hard,False,1.0,0.82,3,0.6666666666666666
claude-haiku-4-5,cardio_034,cardiology,hard,False,1.0,0.95,2,0.5
claude-haiku-4-5,cardio_035,cardiology,medium,False,1.0,0.78,2,0.5
claude-haiku-4-5,cardio_036,cardiology,medium,False,1.0,0.78,2,1.0
claude-haiku-4-5,cardio_037,cardiology,hard,False,1.0,0.95,2,1.0
claude-haiku-4-5,cardio_038,cardiology,medium,False,1.0,0.92,2,0.0
claude-haiku-4-5,cardio_039,cardiology,hard,False,1.0,0.88,2,1.0
claude-haiku-4-5,cardio_040,cardiology,easy,False,1.0,0.88,3,1.0
claude-haiku-4-5,cardio_041,cardiology,hard,False,1.0,0.92,2,1.0
claude-haiku-4-5,cardio_042,cardiology,medium,False,1.0,0.92,2,0.5
claude-haiku-4-5,cardio_043,cardiology,hard,False,1.0,0.92,2,1.0
claude-haiku-4-5,cardio_044,cardiology,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,cardio_045,cardiology,medium,False,1.0,0.78,2,1.0
claude-haiku-4-5,cardio_046,cardiology,medium,False,1.0,0.95,2,1.0
claude-haiku-4-5,cardio_047,cardiology,medium,False,0.0,0.72,2,0.5
claude-haiku-4-5,cardio_048,cardiology,medium,False,1.0,0.92,2,1.0
claude-haiku-4-5,cardio_049,cardiology,medium,False,1.0,0.92,2,0.0
claude-haiku-4-5,cardio_050,cardiology,hard,True,0.0,0.72,2,0.5
claude-haiku-4-5,cardio_051,cardiology,easy,True,0.0,0.75,0,
claude-haiku-4-5,cardio_052,cardiology,hard,True,0.0,0.72,0,
claude-haiku-4-5,cardio_054,cardiology,hard,True,0.0,0.72,0,
claude-haiku-4-5,cardio_055,cardiology,medium,True,0.0,0.72,0,
claude-haiku-4-5,cardio_056,cardiology,medium,True,0.0,0.72,0,
claude-haiku-4-5,cardio_057,cardiology,medium,True,0.0,0.72,0,
claude-haiku-4-5,cardio_058,cardiology,medium,True,0.0,0.78,0,
gemma2:9b,autoimmune_001,autoimmune,medium,False,1.0,0.95,4,1.0
gemma2:9b,autoimmune_002,autoimmune,hard,False,1.0,0.9,5,0.6
gemma2:9b,autoimmune_003,autoimmune,hard,False,1.0,0.95,4,0.75
gemma2:9b,autoimmune_004,autoimmune,medium,False,1.0,0.9,4,1.0
gemma2:9b,autoimmune_005,autoimmune,hard,False,1.0,0.9,4,1.0
gemma2:9b,autoimmune_006,autoimmune,medium,False,0.0,0.9,4,0.25
gemma2:9b,autoimmune_007,autoimmune,hard,False,1.0,0.9,4,1.0
gemma2:9b,autoimmune_008,autoimmune,easy,False,1.0,0.9,4,1.0
gemma2:9b,autoimmune_009,autoimmune,medium,False,1.0,0.9,4,1.0
gemma2:9b,autoimmune_010,autoimmune,medium,False,1.0,0.9,4,0.75
gemma2:9b,autoimmune_011,autoimmune,medium,False,1.0,0.9,3,1.0
gemma2:9b,autoimmune_012,autoimmune,easy,False,1.0,0.95,4,1.0
gemma2:9b,autoimmune_013,autoimmune,medium,False,1.0,0.9,3,1.0
gemma2:9b,autoimmune_014,autoimmune,medium,False,1.0,0.9,3,1.0
gemma2:9b,autoimmune_015,autoimmune,hard,False,1.0,0.9,4,0.75
gemma2:9b,autoimmune_016,autoimmune,medium,False,1.0,0.9,3,1.0
gemma2:9b,autoimmune_017,autoimmune,hard,False,1.0,0.9,4,1.0
gemma2:9b,autoimmune_018,autoimmune,hard,False,1.0,0.9,3,1.0
gemma2:9b,autoimmune_019,autoimmune,medium,False,1.0,0.9,3,1.0
gemma2:9b,autoimmune_020,autoimmune,medium,True,0.0,0.85,2,0.0
gemma2:9b,autoimmune_021,autoimmune,medium,False,1.0,0.9,3,0.6666666666666666
gemma2:9b,autoimmune_022,autoimmune,hard,False,1.0,0.9,3,1.0
gemma2:9b,autoimmune_023,autoimmune,medium,False,1.0,0.95,2,1.0
gemma2:9b,autoimmune_024,autoimmune,medium,False,1.0,0.9,2,1.0
gemma2:9b,autoimmune_025,autoimmune,medium,False,1.0,0.9,2,0.5
gemma2:9b,autoimmune_026,autoimmune,hard,False,1.0,0.95,3,1.0
gemma2:9b,autoimmune_027,autoimmune,hard,False,1.0,0.95,3,1.0
gemma2:9b,autoimmune_028,autoimmune,hard,False,1.0,0.95,3,1.0
gemma2:9b,autoimmune_029,autoimmune,medium,False,1.0,0.9,2,1.0
gemma2:9b,autoimmune_030,autoimmune,hard,False,1.0,0.95,3,0.6666666666666666
gemma2:9b,autoimmune_031,autoimmune,hard,False,1.0,0.95,2,0.5
gemma2:9b,autoimmune_032,autoimmune,medium,False,1.0,0.95,2,1.0
gemma2:9b,autoimmune_033,autoimmune,medium,False,1.0,0.9,2,1.0
gemma2:9b,autoimmune_034,autoimmune,medium,False,1.0,0.95,2,0.5
gemma2:9b,autoimmune_035,autoimmune,medium,False,1.0,0.95,2,1.0
gemma2:9b,autoimmune_036,autoimmune,medium,False,1.0,0.95,2,1.0
gemma2:9b,autoimmune_037,autoimmune,easy,False,1.0,0.9,4,1.0
gemma2:9b,autoimmune_038,autoimmune,medium,False,1.0,0.9,2,0.5
gemma2:9b,autoimmune_039,autoimmune,medium,False,1.0,0.9,2,1.0
gemma2:9b,autoimmune_040,autoimmune,medium,False,1.0,0.9,2,1.0
gemma2:9b,autoimmune_041,autoimmune,medium,False,1.0,0.9,2,0.5
gemma2:9b,autoimmune_042,autoimmune,easy,False,1.0,0.9,4,1.0
gemma2:9b,autoimmune_043,autoimmune,hard,False,1.0,0.95,2,1.0
gemma2:9b,autoimmune_044,autoimmune,medium,False,1.0,0.95,2,1.0
gemma2:9b,autoimmune_045,autoimmune,hard,False,1.0,0.95,2,1.0
gemma2:9b,autoimmune_046,autoimmune,medium,False,1.0,0.95,2,1.0
gemma2:9b,autoimmune_047,autoimmune,medium,False,1.0,0.95,2,1.0
gemma2:9b,autoimmune_048,autoimmune,medium,False,1.0,0.95,2,1.0
gemma2:9b,autoimmune_049,autoimmune,medium,False,1.0,0.9,2,1.0
gemma2:9b,autoimmune_050,autoimmune,medium,False,1.0,0.85,2,1.0
gemma2:9b,autoimmune_051,autoimmune,easy,True,0.0,0.75,0,
gemma2:9b,autoimmune_052,autoimmune,hard,True,0.0,0.85,0,
gemma2:9b,autoimmune_053,autoimmune,hard,True,0.0,0.85,0,
gemma2:9b,autoimmune_055,autoimmune,medium,True,0.0,0.85,0,
gemma2:9b,autoimmune_056,autoimmune,medium,True,0.0,0.85,0,
gemma2:9b,cardio_001,cardiology,easy,False,1.0,0.9,4,1.0
gemma2:9b,cardio_002,cardiology,easy,False,1.0,0.9,4,1.0
gemma2:9b,cardio_003,cardiology,medium,False,0.0,0.9,4,0.0
gemma2:9b,cardio_004,cardiology,medium,False,1.0,0.9,4,1.0
gemma2:9b,cardio_005,cardiology,medium,False,1.0,0.9,4,1.0
gemma2:9b,cardio_006,cardiology,easy,False,1.0,0.9,3,0.6666666666666666
gemma2:9b,cardio_007,cardiology,hard,False,1.0,0.9,4,1.0
gemma2:9b,cardio_008,cardiology,medium,False,0.0,0.9,4,0.0
gemma2:9b,cardio_009,cardiology,hard,False,1.0,0.9,4,1.0
gemma2:9b,cardio_010,cardiology,medium,True,0.0,0.85,2,0.0
gemma2:9b,cardio_011,cardiology,medium,False,0.0,0.9,4,0.5
gemma2:9b,cardio_012,cardiology,medium,False,1.0,0.9,3,1.0
gemma2:9b,cardio_013,cardiology,easy,False,1.0,0.9,4,1.0
gemma2:9b,cardio_014,cardiology,hard,False,1.0,0.9,4,0.75
gemma2:9b,cardio_015,cardiology,medium,False,1.0,0.95,3,1.0
gemma2:9b,cardio_016,cardiology,easy,False,1.0,0.95,4,1.0
gemma2:9b,cardio_017,cardiology,hard,False,1.0,0.9,4,0.75
gemma2:9b,cardio_018,cardiology,medium,True,0.0,0.85,2,0.0
gemma2:9b,cardio_019,cardiology,easy,False,1.0,0.9,3,0.6666666666666666
gemma2:9b,cardio_020,cardiology,hard,False,0.0,0.9,4,0.25
gemma2:9b,cardio_021,cardiology,medium,False,1.0,0.9,3,0.6666666666666666
gemma2:9b,cardio_022,cardiology,hard,False,0.0,0.9,3,0.3333333333333333
gemma2:9b,cardio_023,cardiology,easy,False,1.0,0.9,3,0.6666666666666666
gemma2:9b,cardio_024,cardiology,medium,False,1.0,0.9,3,0.6666666666666666
gemma2:9b,cardio_025,cardiology,medium,False,1.0,0.9,3,1.0
gemma2:9b,cardio_026,cardiology,hard,False,1.0,0.9,3,1.0
